addr,domain,date_added,domain_percent_increase
Allen.Baker@aol.net,aol.net,2014-03-02,0.001331
Allen.Bass@fakecompany.uk,fakecompany.uk,2014-06-06,0
Allen.Briggs@yahoo.in,yahoo.in,2015-06-30,0.000444
Allen.Case@hotmail.edu,hotmail.edu,2015-05-25,0.000887
Allen.Clarke@mockbusiness.net,mockbusiness.net,2014-07-03,0
Allen.Clarke@sympatico.ca,sympatico.ca,2015-01-10,0.000444
Allen.Clarke@yahoo.net,yahoo.net,2015-03-16,0.002218
Allen.Davies@yahoo.biz,yahoo.biz,2014-12-01,0
Allen.Dyer@gmail.ca,gmail.ca,2014-09-26,0.001331
Allen.Fowler@aol.co,aol.co,2015-05-26,0.000444
Allen.Friedman@gmail.net,gmail.net,2014-02-06,0.001331
Allen.Friedman@phonybusiness.net,phonybusiness.net,2015-05-01,0
Allen.Friedman@pseudobusiness.uk,pseudobusiness.uk,2015-02-25,0
Allen.Hess@aol.net,aol.net,2015-02-19,0.001331
Allen.Hess@fakecompany.uk,fakecompany.uk,2014-03-30,0
Allen.Hess@hotmail.com,hotmail.com,2014-03-20,0.000887
Allen.Hodges@gmail.ca,gmail.ca,2014-04-18,0.001331
Allen.Hodges@gmail.edu,gmail.edu,2014-12-08,0.001775
Allen.Hodges@yahoo.ke,yahoo.ke,2014-01-26,0
Allen.Howard@gmail.ca,gmail.ca,2014-08-20,0.001331
Allen.Howard@hotmail.ca,hotmail.ca,2014-08-06,0.00488
Allen.Hubbard@hotmail.net,hotmail.net,2014-04-07,0.001775
Allen.Melendez@gmail.com,gmail.com,2014-04-27,0.004437
Allen.Moon@gmail.com,gmail.com,2014-07-01,0.004437
Allen.Mooney@yahoo.aero,yahoo.aero,2015-02-23,0
Allen.Morrison@sympatico.gov,sympatico.gov,2015-02-15,0.000444
Allen.Murillo@gmail.com,gmail.com,2015-07-19,0.004437
Allen.Olson@gmail.net,gmail.net,2015-03-07,0.001331
Allen.Osborne@aol.net,aol.net,2014-08-02,0.001331
Allen.Osborne@gmail.ca,gmail.ca,2015-01-12,0.001331
Allen.Pham@yahoo.ca,yahoo.ca,2015-03-22,0.003106
Allen.Pierce@fakebusiness.ca,fakebusiness.ca,2015-05-09,0
Allen.Pierce@gmail.ca,gmail.ca,2014-06-07,0.001331
Allen.Potter@fakemail.mk,fakemail.mk,2015-03-12,0
Allen.Pugh@sympatico.co,sympatico.co,2014-11-24,0.000444
Allen.Pugh@yahoo.edu,yahoo.edu,2014-11-17,0
Allen.Richmond@liarcompany.ca,liarcompany.ca,2015-07-21,0.000444
Allen.Roach@yahoo.co,yahoo.co,2015-03-29,0.000887
Allen.Ryan@fakedomain.uk,fakedomain.uk,2015-01-27,0
Allen.Shields@gmail.com,gmail.com,2014-07-29,0.004437
Allen.Shields@sympatico.com,sympatico.com,2014-04-29,0.000444
Allen.Short@gmail.uk,gmail.uk,2014-11-10,0.000887
Allen.Silva@hotmail.ca,hotmail.ca,2015-03-26,0.00488
Allen.Silva@liarcompany.net,liarcompany.net,2014-08-20,0
Allen.Tate@comcast.edu,comcast.edu,2014-11-28,0.000444
Allen.Trevino@comcast.ca,comcast.ca,2014-03-13,0.000444
Allen.Tucker@aol.ca,aol.ca,2015-07-23,0.000887
Allen.Tucker@yahoo.com,yahoo.com,2014-06-20,0.001775
Allen.Walsh@aol.co,aol.co,2014-04-10,0.000444
Allen.Yu@hotmail.net,hotmail.net,2014-03-29,0.001775
Angelique.Acevedo@comcast.com,comcast.com,2014-10-18,0.001331
Angelique.Acevedo@yahoo.co,yahoo.co,2015-05-25,0.000887
Angelique.Arellano@yahoo.net,yahoo.net,2014-09-22,0.002218
Angelique.Briggs@hotmail.ca,hotmail.ca,2015-07-18,0.00488
Angelique.Case@gmail.edu,gmail.edu,2014-12-28,0.001775
Angelique.Case@sympatico.net,sympatico.net,2014-08-19,0.000887
Angelique.Cervantes@gmail.biz,gmail.biz,2015-01-25,0
Angelique.Cochran@yahoo.in,yahoo.in,2015-01-01,0.000444
Angelique.Davidson@hotmail.uk,hotmail.uk,2015-06-22,0.000444
Angelique.Davies@bogusbusiness.ca,bogusbusiness.ca,2014-01-31,0
Angelique.Fowler@aol.net,aol.net,2014-07-11,0.001331
Angelique.Gomez@bogusbusiness.gov,bogusbusiness.gov,2014-09-08,0
Angelique.Gray@comcast.ca,comcast.ca,2014-03-02,0.000444
Angelique.Gray@gmail.edu,gmail.edu,2014-12-29,0.001775
Angelique.Gray@hotmail.com,hotmail.com,2014-05-03,0.000887
Angelique.Haas@yahoo.ca,yahoo.ca,2014-11-07,0.003106
Angelique.Hodges@yahoo.ca,yahoo.ca,2015-03-27,0.003106
Angelique.Hunter@phonybusiness.ca,phonybusiness.ca,2014-03-27,0
Angelique.Mata@bogusbusiness.net,bogusbusiness.net,2015-02-07,0
Angelique.Mercado@aol.net,aol.net,2015-06-14,0.001331
Angelique.Mercado@yahoo.mk,yahoo.mk,2014-03-22,0.000444
Angelique.Morrison@gmail.com,gmail.com,2015-02-24,0.004437
Angelique.Morrison@hotmail.net,hotmail.net,2014-11-28,0.001775
Angelique.Murillo@yahoo.net,yahoo.net,2014-02-19,0.002218
Angelique.Odom@hotmail.com,hotmail.com,2015-03-15,0.000887
Angelique.Olson@comcast.net,comcast.net,2015-01-15,0.000444
Angelique.Olson@yahoo.net,yahoo.net,2014-12-20,0.002218
Angelique.Pham@yahoo.co,yahoo.co,2014-12-14,0.000887
Angelique.Pugh@liardomain.net,liardomain.net,2014-07-31,0
Angelique.Pugh@phonybusiness.int,phonybusiness.int,2015-02-12,0
Angelique.Rivas@comcast.com,comcast.com,2015-03-28,0.001331
Angelique.Rivas@hotmail.com,hotmail.com,2014-07-27,0.000887
Angelique.Rivera@comcast.com,comcast.com,2014-03-27,0.001331
Angelique.Sanchez@mockdomain.ca,mockdomain.ca,2014-09-13,0
Angelique.Shields@gmail.aero,gmail.aero,2014-09-22,0
Angelique.Shields@gmail.co,gmail.co,2014-12-09,0.000887
Angelique.Silva@gmail.co,gmail.co,2015-07-16,0.000887
Angelique.Silva@hotmail.com,hotmail.com,2015-04-24,0.000887
Angelique.Tate@hotmail.ca,hotmail.ca,2014-12-27,0.00488
Angelique.Trevino@gmail.ai,gmail.ai,2014-11-16,0
Angelique.Valenzuela@yahoo.com,yahoo.com,2015-06-21,0.001775
Angelique.Watkins@yahoo.net,yahoo.net,2014-07-05,0.002218
Angelique.Yu@yahoo.com,yahoo.com,2015-05-09,0.001775
August.Baker@comcast.net,comcast.net,2014-08-10,0.000444
August.Barron@gmail.eu,gmail.eu,2015-05-19,0
August.Barron@liarbusiness.net,liarbusiness.net,2014-02-28,0
August.Bass@gmail.com,gmail.com,2014-10-13,0.004437
August.Cantu@hotmail.net,hotmail.net,2014-05-02,0.001775
August.Clarke@msn.ca,msn.ca,2014-02-27,0
August.Davidson@pseudocompany.net,pseudocompany.net,2014-03-30,0
August.Garrison@yahoo.co,yahoo.co,2014-04-28,0.000887
August.Garrison@yahoo.mk,yahoo.mk,2014-06-11,0.000444
August.Gomez@hotmail.ca,hotmail.ca,2014-08-10,0.00488
August.Haas@bogusmail.net,bogusmail.net,2015-05-08,0
August.Hebert@gmail.ca,gmail.ca,2014-07-21,0.001331
August.Hess@gmail.ca,gmail.ca,2015-05-17,0.001331
August.Hoover@liardomain.com,liardomain.com,2014-04-16,0
August.Hoover@mockdomain.net,mockdomain.net,2014-03-12,0
August.Houston@yahoo.biz,yahoo.biz,2014-05-15,0
August.Huber@gmail.net,gmail.net,2015-05-25,0.001331
August.Long@comcast.net,comcast.net,2014-05-20,0.000444
August.Macias@gmail.aero,gmail.aero,2014-11-08,0
August.Manning@yahoo.net,yahoo.net,2015-03-30,0.002218
August.Mata@yahoo.com,yahoo.com,2014-06-01,0.001775
August.Melendez@aol.ca,aol.ca,2015-03-23,0.000887
August.Odom@sympatico.uk,sympatico.uk,2015-05-03,0.000887
August.Ramirez@comcast.uk,comcast.uk,2015-06-04,0
August.Rivas@gmail.eu,gmail.eu,2015-02-20,0
August.Roach@hotmail.ca,hotmail.ca,2014-07-07,0.00488
August.Ryan@pseudobusiness.in,pseudobusiness.in,2015-05-28,0
August.Shields@hotmail.ca,hotmail.ca,2015-01-06,0.00488
August.Stone@pseudocompany.com,pseudocompany.com,2014-04-12,0
August.Tate@yahoo.edu,yahoo.edu,2014-09-11,0
August.Taylor@mockbusiness.net,mockbusiness.net,2014-12-14,0
August.Trevino@yahoo.ca,yahoo.ca,2014-08-24,0.003106
August.Tucker@gmail.mk,gmail.mk,2014-02-01,0
August.Velez@aol.ao,aol.ao,2014-08-05,0
